participantID,videoID,videoURL
P09,V113,https://www.tiktok.com/@piueuropaofficial/video/7375605417923153185
P09,V274,https://www.tiktok.com/@partitodemocratico/video/7369965195579477281
P09,V242,https://www.tiktok.com/@europaverde/video/7368751975841860897
P09,V244,https://www.tiktok.com/@partitodemocratico/video/7368765608277609761
P09,V191,https://www.tiktok.com/@carlocalendaofficial/video/7377686214545018144
P10,V225,https://www.tiktok.com/@europaverde/video/7367434253744852256
P10,V140,https://www.tiktok.com/@fratelliditalia/video/7376598390504836385
P10,V016,https://www.tiktok.com/@partitodemocratico/video/7370995531666951456
P10,V176,https://www.tiktok.com/@giorgiameloni_ufficiale/video/7373254464062410017
P10,V243,https://www.tiktok.com/@fratelliditalia/video/7368872877992463648
P10,V212,https://www.tiktok.com/@carlocalendaofficial/video/7366913511567428897
P10,V021,https://www.tiktok.com/@fratelliditalia/video/7371472708984425760
P10,V245,https://www.tiktok.com/@piueuropaofficial/video/7368900900791815457
P10,V188,https://www.tiktok.com/@carlocalendaofficial/video/7377885682066279713
P10,V253,https://www.tiktok.com/@giuseppeconte_it/video/7369199822391250208
P11,V162,https://www.tiktok.com/@europaverde/video/7377399524853091617
P11,V005,https://www.tiktok.com/@giuseppeconte_it/video/7369947281069526304
P11,V136,https://www.tiktok.com/@forzaitalia.ufficiale/video/7376689309534965025
P11,V235,https://www.tiktok.com/@fratelliditalia/video/7368508586487549216
P11,V269,https://www.tiktok.com/@carlocalendaofficial/video/7369891387543784737
P11,V146,https://www.tiktok.com/@antonio.tajani/video/7377075697895886113
P11,V116,https://www.tiktok.com/@fratelliditalia/video/7375959030348401953
P11,V247,https://www.tiktok.com/@matteosalviniufficiale/video/7368768041393392928
P11,V253,https://www.tiktok.com/@giuseppeconte_it/video/7369199822391250208
P11,V222,https://www.tiktok.com/@partitodemocratico/video/7367293464712678689
P12,V002,https://www.tiktok.com/@piueuropaofficial/video/7370341367786130720
P12,V195,https://www.tiktok.com/@fratelliditalia/video/7377688669873818913
P12,V163,https://www.tiktok.com/@giorgiameloni_ufficiale/video/7377473232003239200
P12,V133,https://www.tiktok.com/@matteosalviniufficiale/video/7376315053080841504
P12,V135,https://www.tiktok.com/@carlocalendaofficial/video/7376605222497520929
P12,V138,https://www.tiktok.com/@fratelliditalia/video/7376662260401360161
P12,V046,https://www.tiktok.com/@carlocalendaofficial/video/7372558656501452064
P12,V112,https://www.tiktok.com/@matteosalviniufficiale/video/7375593379058437408
P12,V243,https://www.tiktok.com/@fratelliditalia/video/7368872877992463648
P12,V059,https://www.tiktok.com/@carlocalendaofficial/video/7373222178587790624
P13,V128,https://www.tiktok.com/@fratelliditalia/video/7376220982392016161
P13,V227,https://www.tiktok.com/@partitodemocratico/video/7367664878401719584
P13,V067,https://www.tiktok.com/@fratelliditalia/video/7373695665244835104
P13,V136,https://www.tiktok.com/@forzaitalia.ufficiale/video/7376689309534965025
P13,V174,https://www.tiktok.com/@giorgiameloni_ufficiale/video/7374021488522824992
P13,V208,https://www.tiktok.com/@matteosalviniufficiale/video/7378124822963817760
P13,V241,https://www.tiktok.com/@partitodemocratico/video/7368392748254104865
P13,V049,https://www.tiktok.com/@partitodemocratico/video/7372509864121224480
P13,V185,https://www.tiktok.com/@piueuropaofficial/video/7377308656116780320
P13,V125,https://www.tiktok.com/@matteosalviniufficiale/video/7375966964398771489
P14,V068,https://www.tiktok.com/@fratelliditalia/video/7373622498673429792
P14,V038,https://www.tiktok.com/@matteosalviniufficiale/video/7372263034032606496
P14,V205,https://www.tiktok.com/@piueuropaofficial/video/7377704670854270240
P14,V079,https://www.tiktok.com/@partitodemocratico/video/7373978342560779553
P14,V016,https://www.tiktok.com/@partitodemocratico/video/7370995531666951456
P14,V112,https://www.tiktok.com/@matteosalviniufficiale/video/7375593379058437408
P14,V119,https://www.tiktok.com/@fratelliditalia/video/7375879627350314272
P14,V023,https://www.tiktok.com/@matteosalviniufficiale/video/7371513980067532065
P14,V247,https://www.tiktok.com/@matteosalviniufficiale/video/7368768041393392928
P14,V159,https://www.tiktok.com/@piueuropaofficial/video/7376933465888967969
P15,V128,https://www.tiktok.com/@fratelliditalia/video/7376220982392016161
P15,V195,https://www.tiktok.com/@fratelliditalia/video/7377688669873818913
P15,V163,https://www.tiktok.com/@giorgiameloni_ufficiale/video/7377473232003239200
P15,V071,https://www.tiktok.com/@piueuropaofficial/video/7373702938281217313
P15,V136,https://www.tiktok.com/@forzaitalia.ufficiale/video/7376689309534965025
P15,V046,https://www.tiktok.com/@carlocalendaofficial/video/7372558656501452064
P15,V144,https://www.tiktok.com/@matteorenziufficiale/video/7376701999242317089
P15,V240,https://www.tiktok.com/@matteosalviniufficiale/video/7368182745253661985
P15,V246,https://www.tiktok.com/@piueuropaofficial/video/7368767794172759328
P15,V061,https://www.tiktok.com/@giuseppeconte_it/video/7373371286174616864
P16,V032,https://www.tiktok.com/@piueuropaofficial/video/7371864335850769697
P16,V159,https://www.tiktok.com/@piueuropaofficial/video/7376933465888967969
P16,V200,https://www.tiktok.com/@matteosalviniufficiale/video/7377815296352079136
P16,V108,https://www.tiktok.com/@fratelliditalia/video/7375592142007176480
P16,V176,https://www.tiktok.com/@giorgiameloni_ufficiale/video/7373254464062410017
P16,V049,https://www.tiktok.com/@partitodemocratico/video/7372509864121224480
P16,V274,https://www.tiktok.com/@partitodemocratico/video/7369965195579477281
P16,V243,https://www.tiktok.com/@fratelliditalia/video/7368872877992463648
P16,V118,https://www.tiktok.com/@fratelliditalia/video/7375899007144545568
P16,V127,https://www.tiktok.com/@carlocalendaofficial/video/7376218719204150561
P17,V160,https://www.tiktok.com/@antonio.tajani/video/7377376686498778400
P17,V002,https://www.tiktok.com/@piueuropaofficial/video/7370341367786130720
P17,V230,https://www.tiktok.com/@matteorenziufficiale/video/7367646741702774049
P17,V200,https://www.tiktok.com/@matteosalviniufficiale/video/7377815296352079136
P17,V265,https://www.tiktok.com/@partitodemocratico/video/7369526343844842785
P17,V138,https://www.tiktok.com/@fratelliditalia/video/7376662260401360161
P17,V113,https://www.tiktok.com/@piueuropaofficial/video/7375605417923153185
P17,V023,https://www.tiktok.com/@matteosalviniufficiale/video/7371513980067532065
P17,V122,https://www.tiktok.com/@partitodemocratico/video/7375825189206019361
P17,V221,https://www.tiktok.com/@partitodemocratico/video/7367392430389333281
P18,V128,https://www.tiktok.com/@fratelliditalia/video/7376220982392016161
P18,V130,https://www.tiktok.com/@piueuropaofficial/video/7376226784305614113
P18,V036,https://www.tiktok.com/@giuseppeconte_it/video/7371918109315239200
P18,V265,https://www.tiktok.com/@partitodemocratico/video/7369526343844842785
P18,V240,https://www.tiktok.com/@matteosalviniufficiale/video/7368182745253661985
P18,V147,https://www.tiktok.com/@antonio.tajani/video/7376968849599515936
P18,V181,https://www.tiktok.com/@giuseppeconte_it/video/7377405819022773537
P18,V182,https://www.tiktok.com/@movimento5stelle_/video/7377331913784118561
P18,V028,https://www.tiktok.com/@carlocalendaofficial/video/7371839413367721249
P18,V157,https://www.tiktok.com/@piueuropaofficial/video/7377091471121419553
P19,V197,https://www.tiktok.com/@giuseppeconte_it/video/7377678490633538848
P19,V135,https://www.tiktok.com/@carlocalendaofficial/video/7376605222497520929
P19,V108,https://www.tiktok.com/@fratelliditalia/video/7375592142007176480
P19,V112,https://www.tiktok.com/@matteosalviniufficiale/video/7375593379058437408
P19,V081,https://www.tiktok.com/@antonio.tajani/video/7374429134237338912
P19,V209,https://www.tiktok.com/@matteosalviniufficiale/video/7378461973190610209
P19,V147,https://www.tiktok.com/@antonio.tajani/video/7376968849599515936
P19,V214,https://www.tiktok.com/@fratelliditalia/video/7366561858410581280
P19,V023,https://www.tiktok.com/@matteosalviniufficiale/video/7371513980067532065
P19,V092,https://www.tiktok.com/@europaverde/video/7374699597857443105
P20,V032,https://www.tiktok.com/@piueuropaofficial/video/7371864335850769697
P20,V130,https://www.tiktok.com/@piueuropaofficial/video/7376226784305614113
P20,V196,https://www.tiktok.com/@giuseppeconte_it/video/7377723915516349729
P20,V164,https://www.tiktok.com/@giorgiameloni_ufficiale/video/7376910127187758368
P20,V134,https://www.tiktok.com/@antonio.tajani/video/7376597608267091232
P20,V071,https://www.tiktok.com/@piueuropaofficial/video/7373702938281217313
P20,V169,https://www.tiktok.com/@giorgiameloni_ufficiale/video/7375525361355935009
P20,V235,https://www.tiktok.com/@fratelliditalia/video/7368508586487549216
P20,V088,https://www.tiktok.com/@matteosalviniufficiale/video/7374387797924285729
P20,V222,https://www.tiktok.com/@partitodemocratico/video/7367293464712678689
P21,V226,https://www.tiktok.com/@carlocalendaofficial/video/7367645834441182497
P21,V038,https://www.tiktok.com/@matteosalviniufficiale/video/7372263034032606496
P21,V230,https://www.tiktok.com/@matteorenziufficiale/video/7367646741702774049
P21,V264,https://www.tiktok.com/@partitodemocratico/video/7369588019650727201
P21,V106,https://www.tiktok.com/@carlocalendaofficial/video/7375634758929304865
P21,V051,https://www.tiktok.com/@carlocalendaofficial/video/7372980161387498785
P21,V061,https://www.tiktok.com/@giuseppeconte_it/video/7373371286174616864
P21,V157,https://www.tiktok.com/@piueuropaofficial/video/7377091471121419553
P21,V214,https://www.tiktok.com/@fratelliditalia/video/7366561858410581280
P21,V125,https://www.tiktok.com/@matteosalviniufficiale/video/7375966964398771489
P22,V193,https://www.tiktok.com/@fratelliditalia/video/7377771263177084192
P22,V035,https://www.tiktok.com/@giuseppeconte_it/video/7372233491615911201
P22,V196,https://www.tiktok.com/@giuseppeconte_it/video/7377723915516349729
P22,V067,https://www.tiktok.com/@fratelliditalia/video/7373695665244835104
P22,V168,https://www.tiktok.com/@giorgiameloni_ufficiale/video/7375615444239142176
P22,V169,https://www.tiktok.com/@giorgiameloni_ufficiale/video/7375525361355935009
P22,V182,https://www.tiktok.com/@movimento5stelle_/video/7377331913784118561
P22,V150,https://www.tiktok.com/@fratelliditalia/video/7376981597846916384
P22,V157,https://www.tiktok.com/@piueuropaofficial/video/7377091471121419553
P22,V190,https://www.tiktok.com/@carlocalendaofficial/video/7377686594955906337
P23,V160,https://www.tiktok.com/@antonio.tajani/video/7377376686498778400
P23,V032,https://www.tiktok.com/@piueuropaofficial/video/7371864335850769697
P23,V227,https://www.tiktok.com/@partitodemocratico/video/7367664878401719584
P23,V036,https://www.tiktok.com/@giuseppeconte_it/video/7371918109315239200
P23,V197,https://www.tiktok.com/@giuseppeconte_it/video/7377678490633538848
P23,V106,https://www.tiktok.com/@carlocalendaofficial/video/7375634758929304865
P23,V174,https://www.tiktok.com/@giorgiameloni_ufficiale/video/7374021488522824992
P23,V092,https://www.tiktok.com/@europaverde/video/7374699597857443105
P23,V184,https://www.tiktok.com/@partitodemocratico/video/7377381344558468384
P23,V156,https://www.tiktok.com/@matteorenziufficiale/video/7376924240093744417
P24,V256,https://www.tiktok.com/@partitodemocratico/video/7369169278982950177
P24,V067,https://www.tiktok.com/@fratelliditalia/video/7373695665244835104
P24,V035,https://www.tiktok.com/@giuseppeconte_it/video/7372233491615911201
P24,V202,https://www.tiktok.com/@matteorenziufficiale/video/7377778500557704481
P24,V079,https://www.tiktok.com/@partitodemocratico/video/7373978342560779553
P24,V208,https://www.tiktok.com/@matteosalviniufficiale/video/7378124822963817760
P24,V211,https://www.tiktok.com/@fratelliditalia/video/7378879977598586144
P24,V122,https://www.tiktok.com/@partitodemocratico/video/7375825189206019361
P24,V092,https://www.tiktok.com/@europaverde/video/7374699597857443105
P24,V222,https://www.tiktok.com/@partitodemocratico/video/7367293464712678689
P25,V225,https://www.tiktok.com/@europaverde/video/7367434253744852256
P25,V133,https://www.tiktok.com/@matteosalviniufficiale/video/7376315053080841504
P25,V016,https://www.tiktok.com/@partitodemocratico/video/7370995531666951456
P25,V081,https://www.tiktok.com/@antonio.tajani/video/7374429134237338912
P25,V242,https://www.tiktok.com/@europaverde/video/7368751975841860897
P25,V049,https://www.tiktok.com/@partitodemocratico/video/7372509864121224480
P25,V244,https://www.tiktok.com/@partitodemocratico/video/7368765608277609761
P25,V021,https://www.tiktok.com/@fratelliditalia/video/7371472708984425760
P25,V150,https://www.tiktok.com/@fratelliditalia/video/7376981597846916384
P25,V028,https://www.tiktok.com/@carlocalendaofficial/video/7371839413367721249
P26,V227,https://www.tiktok.com/@partitodemocratico/video/7367664878401719584
P26,V197,https://www.tiktok.com/@giuseppeconte_it/video/7377678490633538848
P26,V106,https://www.tiktok.com/@carlocalendaofficial/video/7375634758929304865
P26,V108,https://www.tiktok.com/@fratelliditalia/video/7375592142007176480
P26,V144,https://www.tiktok.com/@matteorenziufficiale/video/7376701999242317089
P26,V275,https://www.tiktok.com/@partitodemocratico/video/7369906529484442913
P26,V116,https://www.tiktok.com/@fratelliditalia/video/7375959030348401953
P26,V051,https://www.tiktok.com/@carlocalendaofficial/video/7372980161387498785
P26,V182,https://www.tiktok.com/@movimento5stelle_/video/7377331913784118561
P26,V221,https://www.tiktok.com/@partitodemocratico/video/7367392430389333281
P27,V264,https://www.tiktok.com/@partitodemocratico/video/7369588019650727201
P27,V176,https://www.tiktok.com/@giorgiameloni_ufficiale/video/7373254464062410017
P27,V275,https://www.tiktok.com/@partitodemocratico/video/7369906529484442913
P27,V021,https://www.tiktok.com/@fratelliditalia/video/7371472708984425760
P27,V246,https://www.tiktok.com/@piueuropaofficial/video/7368767794172759328
P27,V125,https://www.tiktok.com/@matteosalviniufficiale/video/7375966964398771489
P27,V186,https://www.tiktok.com/@antonio.tajani/video/7377759745932922144
P27,V059,https://www.tiktok.com/@carlocalendaofficial/video/7373222178587790624
P27,V156,https://www.tiktok.com/@matteorenziufficiale/video/7376924240093744417
P27,V061,https://www.tiktok.com/@giuseppeconte_it/video/7373371286174616864
P28,V193,https://www.tiktok.com/@fratelliditalia/video/7377771263177084192
P28,V164,https://www.tiktok.com/@giorgiameloni_ufficiale/video/7376910127187758368
